şarkı,lemmatized_str
Bir Derdim Var,yollamak gözlemek hayat Rüya gitmek Özlem gece gözlemek kalp gitmek beklemek Özlem yalnız gitmek Rüya beklemek yalnız yalnız aşk yalnız beklemek beklemek aşk kalp gözlemek Özlem aşk kalp gözlemek hayat Özlem yollamak Özlem gelmek Özlem yalnız gece hayat Özlem gitmek Özlem gelmek Rüya gece hayat yalnız Özlem gece aşk gitmek gitmek yollamak yalnız gitmek yalnız Rüya gözlemek beklemek gelmek kalp kalp Rüya Rüya yollamak gitmek yalnız Rüya gece kalp hayat beklemek gitmek yalnız gözlemek gitmek hayat yalnız Rüya gece Rüya beklemek gelmek gece Özlem yollamak gözlemek yollamak aşk yalnız aşk yollamak beklemek Rüya beklemek kalp gözlemek Özlem gelmek hayat aşk hayat gece yalnız gözlemek yollamak gelmek Özlem hayat beklemek kalp Rüya yollamak Özlem beklemek gece yollamak Özlem yalnız Rüya aşk beklemek yollamak yalnız Özlem Rüya gitmek yalnız gözlemek gözlemek hayat Özlem yollamak hayat yalnız Rüya hayat Özlem Özlem gece aşk gece beklemek gece aşk gelmek yalnız aşk gece beklemek Özlem Rüya gitmek yalnız gelmek gözlemek yollamak Rüya gelmek yollamak gözlemek gitmek yollamak aşk gece Rüya gelmek gece beklemek gözlemek yollamak kalp gözlemek gece beklemek Özlem aşk yollamak hayat gözlemek Özlem gözlemek gitmek hayat Özlem gözlemek gitmek gözlemek gitmek yalnız gelmek gece hayat gitmek Özlem yalnız Rüya beklemek yollamak Rüya yollamak Rüya Rüya Özlem gitmek yalnız beklemek gece gelmek Rüya Özlem gelmek aşk beklemek yalnız yollamak gözlemek yalnız yalnız gelmek gece gitmek gece kalp hayat gözlemek Rüya kalp Özlem yollamak aşk Özlem yalnız Rüya gece beklemek kalp Rüya Rüya gitmek gece yalnız gelmek gece yalnız gözlemek beklemek yollamak gitmek gelmek gece yollamak Özlem gitmek gözlemek Rüya gece yollamak yollamak aşk yollamak gece Özlem hayat Özlem yollamak aşk beklemek gelmek yalnız beklemek Rüya yollamak yalnız gitmek gece yalnız aşk gece gelmek kalp Rüya kalp kalp yalnız gelmek yalnız yollamak gece gece hayat gitmek hayat yalnız gözlemek Özlem yollamak gözlemek beklemek Özlem gözlemek gitmek Rüya Özlem gözlemek hayat kalp gelmek gece hayat Rüya beklemek gözlemek gitmek kalp gözlemek aşk yollamak yalnız gece gitmek kalp gitmek kalp yalnız yalnız Rüya Rüya Rüya Özlem yalnız hayat gitmek gece gitmek Rüya yalnız gece Rüya gitmek Özlem Rüya yalnız yalnız gece hayat aşk Rüya yollamak Rüya aşk Özlem yalnız yalnız gece gelmek aşk gece beklemek gitmek gözlemek gözlemek hayat kalp gitmek kalp kalp Özlem Özlem gelmek gözlemek hayat gözlemek gözlemek kalp beklemek hayat kalp hayat hayat aşk aşk gitmek hayat Rüya yollamak gelmek gözlemek hayat gece kalp beklemek aşk Özlem hayat gitmek gitmek Özlem hayat Rüya yollamak yollamak gözlemek Özlem gece yollamak Rüya yollamak yalnız Özlem gece kalp gelmek Özlem beklemek gece beklemek beklemek hayat yollamak kalp hayat aşk gelmek kalp yalnız beklemek kalp Rüya hayat gözlemek yollamak Özlem aşk kalp Özlem aşk gelmek Rüya Özlem Rüya gözlemek Rüya gitmek Rüya aşk gelmek Özlem gelmek yollamak yollamak yollamak hayat gece hayat yalnız kalp Rüya beklemek
Bir Derdim Var,gelmek kalp Özlem Özlem yalnız Özlem aşk gelmek kalp hayat Rüya gitmek hayat Rüya gitmek aşk yalnız gözlemek gitmek Rüya Rüya aşk Özlem kalp Özlem Rüya gitmek kalp hayat gözlemek gelmek hayat Rüya yalnız beklemek hayat beklemek kalp aşk gözlemek aşk beklemek gözlemek gitmek Özlem beklemek Özlem gitmek yalnız kalp gözlemek Özlem kalp kalp Özlem gelmek gece gözlemek yollamak yalnız Özlem aşk gelmek yollamak yalnız hayat gitmek aşk kalp yalnız beklemek gece hayat gitmek gece hayat beklemek Rüya yalnız Özlem yalnız gözlemek beklemek yalnız aşk kalp Rüya beklemek yollamak aşk beklemek hayat yollamak gözlemek yalnız beklemek gözlemek gelmek beklemek gece gece gece Rüya Rüya gelmek gitmek aşk Rüya Özlem hayat gelmek gözlemek aşk gözlemek beklemek yalnız gece hayat kalp hayat beklemek hayat Rüya gelmek Özlem yollamak gitmek aşk gece yalnız gözlemek gece beklemek gece Rüya beklemek beklemek hayat yollamak gitmek kalp gece gitmek Rüya hayat Özlem hayat gözlemek yollamak kalp Özlem gözlemek gözlemek gözlemek kalp gece aşk Özlem gece kalp Özlem gece beklemek aşk gözlemek yollamak kalp hayat kalp yalnız gözlemek gece hayat Özlem Özlem yollamak gitmek yalnız beklemek hayat aşk gitmek Özlem gece aşk kalp yalnız Rüya Özlem gece Rüya hayat Rüya yalnız Rüya aşk aşk hayat gelmek gitmek gözlemek beklemek gece gözlemek Rüya gitmek gece gece yollamak Rüya yalnız Özlem yalnız aşk Rüya Rüya hayat gelmek yalnız gitmek Rüya yollamak yollamak yollamak gece hayat hayat yalnız Özlem yalnız beklemek Rüya beklemek hayat hayat aşk gelmek gece hayat hayat gözlemek hayat gece aşk gelmek gitmek gitmek gitmek beklemek aşk kalp gelmek beklemek aşk Rüya gözlemek yollamak kalp gece Özlem yollamak kalp yollamak hayat yollamak hayat kalp Özlem yalnız gözlemek gelmek gece gelmek kalp aşk gitmek Rüya Özlem gitmek gelmek Özlem gözlemek yalnız gözlemek kalp Özlem gözlemek beklemek beklemek kalp gitmek gitmek Özlem beklemek yollamak hayat beklemek Özlem yalnız gitmek aşk yalnız kalp Özlem Rüya yollamak Özlem Özlem gece gitmek gitmek Rüya gözlemek gece gözlemek yollamak Özlem gözlemek gelmek gelmek gelmek gözlemek beklemek kalp yollamak beklemek yollamak yalnız kalp gitmek gece yalnız yalnız gitmek gözlemek Özlem gözlemek Özlem beklemek aşk gece kalp Özlem yalnız yollamak beklemek gözlemek aşk hayat gözlemek gelmek yollamak Rüya Özlem aşk yollamak beklemek kalp gitmek Özlem yollamak kalp yollamak kalp aşk Özlem yalnız aşk hayat gece Özlem aşk yalnız aşk Rüya gece gece Rüya gözlemek hayat aşk beklemek beklemek gelmek
Rüya,beklemek hayat hayat beklemek beklemek yalnız gözlemek gitmek gözlemek aşk kalp yalnız gelmek gelmek Rüya Özlem aşk gözlemek aşk gitmek hayat yalnız Özlem yalnız gözlemek hayat gözlemek Rüya yalnız beklemek hayat aşk gece aşk yalnız hayat beklemek yalnız gitmek hayat Rüya gece yalnız gözlemek gözlemek hayat hayat yollamak Rüya gözlemek gitmek Rüya hayat Rüya aşk yollamak gece beklemek gitmek yollamak gelmek kalp aşk gitmek gözlemek gece gelmek gitmek aşk aşk gözlemek gelmek yalnız gelmek gözlemek gelmek kalp gelmek aşk beklemek yalnız gelmek gözlemek gelmek gece gelmek kalp gelmek gözlemek gelmek Özlem hayat yalnız Özlem aşk hayat gelmek gece Özlem gelmek gece gitmek hayat gelmek Özlem yalnız aşk yollamak beklemek Rüya Özlem kalp kalp Özlem kalp yalnız kalp gece yollamak kalp kalp Rüya gelmek beklemek kalp gece yalnız hayat gece yalnız Özlem gitmek gitmek hayat aşk yollamak aşk Özlem gözlemek yollamak gitmek gözlemek aşk hayat gelmek Özlem gitmek kalp hayat gelmek aşk gözlemek gelmek gelmek hayat hayat gözlemek gözlemek kalp yalnız Rüya gözlemek kalp kalp hayat aşk aşk aşk gece kalp Rüya gitmek gözlemek kalp hayat gözlemek yollamak yollamak hayat kalp gitmek kalp gelmek gitmek beklemek gece gece yalnız kalp gitmek gece hayat beklemek Rüya gelmek Rüya gece gece hayat beklemek gece hayat yalnız kalp gelmek yollamak beklemek kalp aşk gözlemek gözlemek gece yollamak yollamak aşk yalnız gözlemek yalnız aşk Özlem beklemek Özlem kalp aşk gelmek gözlemek yalnız yollamak beklemek Özlem yalnız gözlemek gece Rüya gözlemek Rüya yollamak hayat gece gelmek gece aşk gitmek gitmek kalp gitmek beklemek Rüya gözlemek gitmek kalp gözlemek aşk yollamak Rüya Özlem gitmek gitmek yollamak gitmek gelmek kalp gözlemek kalp beklemek beklemek gitmek gelmek beklemek Özlem aşk beklemek aşk Özlem Özlem yollamak gece Rüya yollamak yalnız gözlemek kalp gece Rüya hayat yollamak gece aşk aşk gözlemek gelmek yalnız hayat yollamak beklemek yollamak Rüya beklemek yollamak yalnız Özlem yalnız kalp gitmek kalp yalnız hayat aşk gece Özlem beklemek kalp hayat Rüya Rüya gelmek gözlemek hayat gece gözlemek kalp hayat hayat beklemek gitmek gelmek beklemek Özlem kalp Rüya yalnız Rüya hayat aşk gece hayat Rüya hayat yollamak beklemek gelmek yalnız Özlem kalp Rüya gece Özlem gitmek gece Özlem hayat gitmek yalnız Rüya beklemek gitmek aşk gece gitmek Rüya yalnız yalnız aşk kalp yalnız beklemek gelmek Özlem gece yollamak beklemek Özlem
Gibi,kalp gece yollamak Rüya gözlemek gitmek aşk yollamak yollamak beklemek hayat gece kalp aşk yollamak Özlem Özlem gözlemek yalnız gitmek gelmek kalp beklemek yalnız hayat aşk aşk gelmek gitmek gelmek Rüya yalnız hayat aşk gözlemek gece gözlemek hayat gitmek beklemek gece yalnız kalp beklemek gözlemek Rüya gitmek yollamak Rüya yollamak gece hayat gelmek gitmek yollamak Rüya yalnız hayat gözlemek yalnız hayat yalnız beklemek aşk yollamak yalnız gitmek gitmek hayat hayat yalnız gitmek yollamak hayat yollamak gitmek beklemek gelmek yollamak gitmek beklemek gitmek yollamak Özlem gözlemek aşk gitmek yollamak gitmek yollamak gece kalp kalp aşk aşk kalp aşk hayat kalp gözlemek beklemek gelmek beklemek gelmek Özlem gözlemek hayat Rüya hayat hayat Özlem gözlemek gitmek aşk gözlemek Özlem kalp kalp aşk Özlem gitmek beklemek yalnız gelmek Özlem kalp kalp gece gece kalp gitmek Rüya Rüya aşk hayat yalnız gelmek aşk gözlemek yollamak gelmek yalnız gece yalnız gözlemek gece hayat gelmek yalnız kalp gözlemek Özlem gitmek hayat gözlemek gitmek kalp gece Özlem gitmek gelmek yollamak kalp gitmek yollamak kalp aşk aşk yollamak beklemek gitmek hayat beklemek Özlem kalp Rüya kalp Rüya gözlemek beklemek beklemek aşk gözlemek yalnız gelmek Rüya hayat gitmek yalnız kalp gelmek hayat Rüya yalnız beklemek gece Rüya gece Özlem gitmek gitmek aşk kalp beklemek kalp Rüya kalp gece gelmek yollamak kalp Özlem hayat Özlem gelmek aşk yollamak Rüya kalp yalnız gitmek hayat gece Rüya gitmek kalp Özlem gitmek kalp yalnız yalnız beklemek yalnız Özlem hayat gözlemek Rüya gitmek beklemek Rüya hayat gitmek beklemek hayat yalnız kalp gözlemek Özlem gitmek gitmek aşk kalp Rüya yalnız gözlemek yalnız gece gözlemek gelmek yalnız gitmek gözlemek Rüya gelmek gelmek Rüya beklemek Rüya Özlem Rüya gözlemek Rüya Özlem Rüya gitmek hayat Rüya aşk beklemek Özlem beklemek aşk gelmek gitmek beklemek yalnız yalnız gözlemek gelmek kalp gece yollamak gözlemek yollamak beklemek gözlemek aşk yalnız aşk gitmek Rüya yalnız gözlemek hayat hayat yollamak kalp Rüya gitmek Rüya Rüya yalnız gitmek gitmek aşk beklemek gece Rüya gelmek Rüya yalnız gözlemek Özlem aşk aşk Rüya yollamak Özlem beklemek kalp gözlemek gelmek gece yollamak gelmek Özlem beklemek beklemek Rüya gözlemek Özlem hayat yalnız gelmek aşk Özlem aşk yalnız yollamak Özlem Rüya gelmek gitmek Özlem kalp Özlem yalnız yollamak aşk gözlemek yollamak beklemek Rüya kalp gitmek kalp Özlem gözlemek kalp hayat kalp Rüya yollamak beklemek hayat aşk Özlem Özlem yalnız gece Özlem gelmek Rüya gelmek kalp yalnız gece gece gitmek hayat gelmek yalnız gözlemek yalnız gitmek beklemek gitmek yollamak hayat hayat yollamak yalnız Özlem gözlemek yalnız gözlemek beklemek yollamak hayat kalp hayat hayat gözlemek gitmek hayat yollamak gelmek aşk gitmek gitmek
Kara Sevda,Özlem gece yalnız gece kalp gece gece yalnız gece hayat Özlem yalnız gelmek gelmek gözlemek gözlemek hayat gelmek hayat aşk yollamak gece gözlemek gözlemek Özlem yalnız Rüya beklemek gitmek beklemek yalnız kalp hayat gelmek beklemek gece aşk gitmek Özlem kalp yollamak gitmek gitmek yollamak yalnız Özlem aşk yalnız hayat Rüya yollamak gitmek gelmek gece yalnız beklemek gözlemek Özlem beklemek beklemek gece hayat beklemek aşk gece gece aşk gözlemek kalp gelmek kalp gece beklemek gitmek yollamak Özlem kalp yalnız gitmek yalnız yollamak yollamak gözlemek kalp beklemek kalp yollamak beklemek gitmek hayat gelmek gözlemek yollamak Özlem gözlemek gece yalnız kalp beklemek aşk gelmek Özlem Rüya gelmek Özlem Özlem gözlemek gelmek yollamak beklemek yalnız kalp gelmek gece hayat yollamak hayat beklemek yalnız gitmek Rüya hayat Rüya Rüya hayat yalnız kalp beklemek hayat gözlemek gece beklemek kalp hayat gözlemek Özlem hayat kalp kalp aşk gözlemek yalnız gitmek gelmek yalnız hayat hayat gözlemek kalp gece gece beklemek gece yalnız yollamak Rüya Rüya yalnız gözlemek Özlem aşk gelmek beklemek Rüya gece gözlemek gözlemek gözlemek gözlemek gitmek Özlem Rüya gitmek aşk gözlemek gözlemek kalp aşk gece gitmek Rüya gelmek beklemek aşk yalnız beklemek Rüya gece aşk gözlemek aşk Rüya Rüya yalnız hayat Rüya hayat aşk yollamak gelmek yollamak gece hayat gözlemek gelmek aşk Rüya Rüya gitmek yollamak Rüya hayat hayat Rüya Rüya hayat gelmek Özlem gelmek kalp gelmek yollamak gözlemek gözlemek kalp gözlemek beklemek Özlem yollamak aşk gitmek yalnız Rüya Özlem yalnız hayat gelmek aşk yalnız kalp gelmek gece yalnız yalnız Rüya yollamak gitmek gitmek Özlem Rüya yollamak yollamak aşk hayat beklemek aşk hayat Rüya aşk yalnız gözlemek aşk kalp Özlem yollamak Rüya hayat gitmek gelmek hayat gelmek aşk hayat gitmek Rüya gelmek gözlemek gelmek beklemek hayat gece yollamak yollamak aşk kalp Rüya Özlem gelmek gece yollamak gitmek Rüya gece kalp Özlem gece yollamak beklemek Rüya beklemek aşk yollamak kalp yalnız beklemek aşk yalnız beklemek gece gitmek yollamak yalnız yalnız yollamak gözlemek Rüya gece gitmek yalnız hayat yollamak Rüya beklemek gitmek gece hayat yalnız gelmek yollamak aşk Rüya Rüya aşk gözlemek gelmek beklemek gitmek gelmek Rüya gitmek Rüya gelmek gitmek yollamak gelmek yalnız yalnız gitmek Özlem gözlemek aşk hayat aşk beklemek kalp yollamak hayat Rüya hayat beklemek Özlem gitmek beklemek gece hayat hayat gözlemek gözlemek gitmek gece gece gelmek gelmek kalp Rüya kalp gözlemek gece gitmek aşk yalnız Özlem yollamak gelmek gelmek gitmek Rüya aşk beklemek aşk hayat gözlemek gözlemek beklemek gece yollamak kalp gelmek aşk gözlemek gözlemek gitmek yalnız hayat yalnız aşk aşk gözlemek Rüya yollamak yalnız yalnız kalp Özlem gece aşk gelmek gelmek gözlemek gözlemek yollamak gelmek gece beklemek gelmek beklemek gitmek hayat hayat hayat gitmek aşk Özlem gelmek kalp aşk hayat beklemek gece kalp aşk Rüya gözlemek kalp yollamak
Aşk Gitti Bizden,yalnız gitmek Özlem yalnız Özlem gece kalp gelmek gözlemek yalnız kalp gelmek beklemek Özlem kalp gece beklemek aşk gece beklemek hayat gece gece beklemek gelmek beklemek yalnız gece hayat Özlem hayat Özlem aşk yollamak yollamak aşk beklemek yollamak yalnız hayat yalnız beklemek gelmek kalp Rüya gece gitmek gelmek Özlem Rüya gitmek gece gelmek kalp gelmek yollamak beklemek Özlem gitmek gece Rüya Rüya Özlem hayat Rüya hayat aşk aşk Rüya yollamak kalp gece Özlem hayat gitmek aşk gelmek beklemek gelmek gözlemek Özlem aşk yollamak beklemek beklemek gözlemek yollamak gelmek kalp gitmek gelmek Rüya hayat aşk hayat hayat yollamak Rüya aşk gece yalnız yollamak yalnız gece aşk gitmek Özlem gelmek Rüya beklemek gitmek yollamak Özlem yalnız aşk kalp yollamak Rüya gelmek hayat Rüya yalnız yalnız yollamak hayat beklemek kalp gece Rüya hayat gece beklemek kalp beklemek kalp aşk beklemek gitmek gelmek Rüya yollamak gözlemek kalp beklemek aşk hayat gitmek kalp gitmek aşk gözlemek Özlem gelmek kalp kalp gece beklemek Rüya beklemek gitmek gelmek gece beklemek beklemek gelmek gelmek Rüya gitmek beklemek Özlem yollamak kalp gitmek gözlemek yollamak gelmek kalp Rüya gece yalnız gözlemek Rüya yollamak yalnız gözlemek gözlemek yalnız gözlemek aşk hayat hayat gece beklemek gelmek yollamak aşk kalp hayat gece gece hayat gece gözlemek aşk beklemek aşk kalp Rüya kalp gözlemek yollamak kalp yalnız gitmek hayat gelmek aşk yollamak yollamak aşk kalp gitmek beklemek yollamak gözlemek beklemek gözlemek gözlemek gelmek yollamak gelmek gelmek hayat gitmek Rüya Rüya gece Rüya gözlemek aşk hayat yalnız yollamak hayat Özlem kalp hayat beklemek beklemek gece Rüya hayat aşk aşk aşk gelmek beklemek Özlem gece Özlem yollamak Özlem gözlemek hayat gitmek yollamak beklemek yollamak Rüya hayat yalnız kalp gözlemek aşk gece kalp gece hayat aşk gitmek Rüya gelmek yalnız beklemek Özlem hayat gözlemek kalp aşk yollamak yollamak yollamak beklemek Özlem Özlem beklemek gelmek yollamak gelmek gece yollamak Özlem Özlem Rüya yollamak gitmek gözlemek yalnız yollamak gözlemek Rüya gözlemek Rüya gitmek gitmek gece beklemek beklemek beklemek hayat yalnız gece gece gelmek Rüya gitmek hayat kalp gitmek gözlemek yollamak aşk Özlem yollamak gitmek kalp kalp Rüya hayat Rüya Rüya yollamak yollamak
Gel Yanıma,beklemek gelmek gece kalp gözlemek beklemek Özlem Rüya kalp gitmek Özlem kalp gelmek beklemek kalp Rüya kalp kalp Rüya beklemek Rüya hayat yalnız Özlem hayat aşk aşk gece kalp yollamak aşk Özlem gözlemek Rüya yalnız Özlem gözlemek yalnız gitmek Rüya hayat gitmek aşk aşk yollamak Özlem gözlemek aşk gelmek gitmek gece gözlemek Rüya gitmek yalnız Özlem yalnız gitmek beklemek aşk yollamak gitmek Özlem gitmek yollamak Özlem gece hayat hayat hayat Özlem Özlem yalnız Özlem yollamak beklemek beklemek gitmek gece yollamak aşk gözlemek kalp gelmek kalp gitmek aşk Özlem Özlem aşk beklemek yollamak beklemek gelmek gelmek gelmek aşk kalp yollamak kalp gelmek beklemek yollamak kalp Rüya Rüya gitmek gelmek Özlem yollamak gelmek aşk beklemek gitmek hayat beklemek kalp aşk kalp gözlemek kalp gitmek gitmek yalnız Rüya yalnız gelmek yalnız gece hayat gitmek gece aşk hayat gözlemek hayat gece gece gelmek beklemek yollamak gözlemek gözlemek hayat yollamak yollamak kalp gözlemek yollamak Rüya gözlemek yollamak gitmek Özlem kalp beklemek yollamak aşk beklemek aşk gelmek gitmek aşk Özlem kalp gitmek gözlemek gitmek gece Özlem aşk yollamak Özlem gözlemek gözlemek aşk yollamak aşk aşk Özlem gitmek Özlem Özlem yalnız kalp beklemek beklemek Rüya gözlemek beklemek beklemek hayat hayat Özlem Rüya gece aşk Rüya yalnız aşk yalnız kalp yalnız gitmek gözlemek beklemek aşk gözlemek gitmek gözlemek beklemek kalp Rüya gece gelmek kalp gözlemek gelmek aşk yalnız aşk Özlem Özlem Rüya gelmek Rüya kalp Özlem Rüya Özlem gözlemek beklemek gözlemek aşk kalp gelmek beklemek Özlem yalnız kalp hayat gelmek beklemek aşk gitmek beklemek beklemek gitmek beklemek hayat yalnız gece gece beklemek gece gece gece yollamak gözlemek kalp yollamak beklemek gece gelmek kalp beklemek gelmek yollamak gece gözlemek yalnız yalnız gözlemek aşk gitmek yalnız aşk beklemek gece gözlemek hayat yollamak Rüya beklemek kalp gece aşk beklemek aşk gitmek yalnız hayat Özlem gece aşk Özlem gitmek gelmek Rüya gözlemek kalp gece gözlemek gitmek gelmek gece Özlem gece Özlem gelmek hayat kalp gözlemek gitmek yalnız beklemek Özlem gelmek hayat gelmek kalp yollamak kalp yollamak kalp gitmek beklemek kalp yalnız beklemek hayat aşk yalnız gelmek gece gece yalnız hayat hayat aşk yollamak hayat yollamak gece beklemek Özlem aşk gitmek aşk gitmek gelmek gece Özlem Rüya yalnız Rüya gelmek Rüya gece aşk kalp gece gelmek Rüya yalnız hayat kalp hayat yalnız kalp hayat gitmek gece Özlem hayat gitmek yollamak Rüya Rüya yollamak gözlemek hayat gece kalp Özlem aşk yollamak beklemek yalnız Rüya Rüya yalnız beklemek yollamak kalp beklemek gelmek yollamak gözlemek hayat beklemek gözlemek gitmek hayat gözlemek kalp gelmek yollamak aşk Rüya gitmek gelmek gözlemek gözlemek aşk Özlem beklemek Rüya kalp aşk gece hayat gözlemek yalnız kalp yalnız beklemek gece yalnız Rüya yalnız Özlem aşk hayat beklemek Özlem yalnız aşk gözlemek yalnız gelmek gece gitmek gece Özlem yalnız Rüya gece gece gelmek beklemek beklemek kalp beklemek gözlemek beklemek gelmek aşk hayat gece aşk hayat aşk Rüya yollamak gitmek hayat hayat aşk yalnız gece
Yalnızlık Senfonisi,Özlem gözlemek gelmek yollamak gitmek beklemek yalnız kalp gelmek Özlem Rüya aşk beklemek kalp yalnız gözlemek yalnız gözlemek yalnız yollamak aşk gitmek hayat yollamak gelmek gece beklemek Özlem gece Özlem kalp kalp gelmek Özlem yalnız beklemek gelmek Rüya yalnız yalnız Rüya gözlemek gelmek yalnız gelmek hayat Özlem aşk Rüya Rüya hayat aşk Rüya beklemek yollamak aşk yalnız gitmek kalp yollamak yalnız gözlemek gece kalp Rüya gece kalp gözlemek hayat Rüya aşk gece beklemek gitmek kalp hayat beklemek Özlem beklemek gece Rüya yalnız gece beklemek gelmek Özlem Rüya yollamak gelmek yollamak yalnız kalp hayat aşk kalp aşk aşk gece yollamak gece beklemek beklemek kalp hayat gelmek gece gece Özlem Rüya Özlem Rüya kalp Rüya beklemek kalp gözlemek hayat hayat yollamak kalp yalnız gözlemek yollamak aşk kalp gitmek hayat Rüya hayat gözlemek yollamak beklemek gelmek aşk gelmek aşk gitmek kalp Rüya gelmek Rüya yollamak gece kalp kalp gece beklemek yollamak yalnız beklemek hayat aşk gözlemek gelmek gözlemek kalp Özlem yalnız beklemek hayat aşk gözlemek beklemek gözlemek hayat beklemek gece kalp gitmek aşk kalp gitmek Rüya beklemek yollamak aşk gece gece beklemek gece gelmek beklemek aşk gözlemek Özlem yollamak Rüya beklemek yollamak aşk gözlemek yalnız kalp Rüya Özlem kalp kalp beklemek Özlem aşk gitmek gitmek gitmek Özlem hayat gözlemek kalp beklemek gelmek Rüya Özlem kalp yalnız hayat aşk Özlem yalnız kalp yollamak hayat Özlem yalnız gözlemek gitmek yollamak gece gece gece gelmek yalnız hayat yollamak kalp
Yalnızlık Senfonisi,gece Özlem Özlem gitmek gitmek gece gitmek hayat yollamak gözlemek Özlem gelmek gitmek gelmek gece kalp gitmek yollamak Özlem gözlemek Rüya beklemek kalp hayat gözlemek hayat beklemek aşk gitmek Özlem gitmek gece aşk aşk yalnız Özlem kalp yalnız beklemek aşk gece beklemek beklemek yalnız gözlemek gece gelmek hayat yollamak gitmek gece aşk gelmek Rüya Özlem aşk gelmek Özlem yalnız gözlemek Özlem Rüya hayat gitmek gözlemek gece gelmek Özlem gelmek Rüya gitmek aşk kalp yalnız yalnız gözlemek hayat beklemek yalnız gözlemek aşk beklemek gitmek kalp gelmek gözlemek yollamak gözlemek hayat yollamak gece hayat aşk yalnız Özlem gözlemek gözlemek yalnız gözlemek yollamak aşk yalnız yollamak gece gelmek yollamak yollamak hayat gitmek aşk kalp Rüya hayat gitmek yalnız Özlem Rüya kalp beklemek yalnız gözlemek Özlem aşk kalp gece gitmek beklemek Özlem gece Rüya beklemek kalp aşk hayat yollamak gitmek yalnız aşk beklemek hayat yollamak gelmek kalp gelmek hayat gece Rüya Rüya aşk beklemek gece yollamak beklemek aşk gelmek yollamak kalp Özlem gözlemek yollamak yalnız Özlem hayat aşk yollamak gözlemek yalnız gitmek gözlemek gitmek aşk kalp beklemek kalp yollamak beklemek gece Rüya yollamak Rüya gitmek hayat beklemek Özlem Özlem beklemek gelmek kalp gitmek gitmek gelmek aşk beklemek yollamak hayat kalp kalp gece gelmek gelmek yollamak kalp aşk gözlemek kalp Rüya Rüya hayat aşk Rüya Özlem kalp beklemek gelmek yalnız Rüya gitmek yollamak hayat Özlem yollamak Rüya yollamak beklemek
Ağla Kalbim,Rüya gece yollamak gelmek yalnız kalp gece Özlem yollamak gelmek hayat gitmek gitmek yollamak gelmek gitmek yalnız Özlem gitmek gece gelmek gece gelmek Özlem Özlem yalnız gözlemek gözlemek Rüya Özlem beklemek gözlemek aşk yollamak gitmek gelmek gelmek Özlem aşk hayat yollamak hayat gelmek gece yalnız hayat gitmek gece yalnız aşk gitmek yalnız Rüya Rüya gözlemek gözlemek yollamak Rüya gitmek gelmek Özlem hayat beklemek Rüya aşk gelmek aşk beklemek yalnız Özlem yalnız yalnız beklemek gitmek Rüya Özlem gelmek yalnız yalnız gözlemek gece gözlemek Özlem hayat aşk beklemek Rüya gözlemek yollamak gelmek yollamak gitmek kalp kalp kalp hayat gelmek gözlemek yollamak gitmek gitmek hayat kalp Özlem hayat aşk gözlemek Özlem beklemek hayat hayat Rüya gözlemek Rüya aşk gözlemek kalp Rüya aşk gözlemek hayat yollamak yalnız yalnız gelmek yollamak aşk hayat kalp yollamak hayat gitmek kalp beklemek gelmek gece yollamak gece kalp Özlem Rüya yalnız hayat beklemek beklemek Özlem gitmek yalnız aşk beklemek gitmek aşk beklemek Özlem Rüya gelmek gelmek Rüya gece gitmek aşk yalnız gitmek yollamak gitmek Özlem gece kalp gözlemek gece gözlemek gece yollamak beklemek gitmek Özlem gitmek aşk gece gözlemek gelmek Rüya aşk aşk yollamak gelmek yalnız gözlemek gece Özlem gözlemek kalp gelmek aşk gelmek gitmek yollamak kalp kalp gelmek yollamak aşk gelmek gece beklemek hayat beklemek gelmek gözlemek beklemek kalp gece gitmek hayat gece Rüya Rüya gitmek aşk gece yollamak beklemek Rüya yollamak gözlemek hayat yollamak gece Rüya beklemek yollamak gece beklemek kalp gitmek gece beklemek gelmek gelmek Özlem gelmek kalp hayat Özlem yalnız gelmek hayat hayat Rüya beklemek gözlemek gözlemek yalnız gece Rüya Rüya yollamak gelmek gece gitmek gece Rüya beklemek aşk aşk kalp gitmek yollamak beklemek hayat yalnız beklemek hayat hayat yalnız aşk aşk gelmek hayat aşk Özlem gitmek beklemek Rüya gece gitmek aşk kalp gece gitmek Özlem kalp gece yalnız gitmek gitmek aşk gitmek yalnız gelmek yalnız beklemek gece beklemek Rüya gece gece
