şarkı,stemmed_str
Rüya,gözl gözl hay bek gel gözl hay git özl gec özl gözl hay gel yoll özl özl kal yalnızl kal özl gec gözl aşk yalnızl gec özl gözl gec yalnızl yalnızl yoll bek özl gec hay gec özl gec gözl git rüy hay kal bek bek rüy bek gözl gel yalnızl yoll kal hay aşk bek bek aşk rüy gel yalnızl rüy özl bek kal gec git rüy özl rüy gözl bek aşk bek kal gel özl hay hay aşk yalnızl gel yalnızl kal yoll yoll rüy özl özl özl gözl gec rüy aşk yoll rüy yoll gec hay kal git gec kal hay git kal yalnızl aşk yalnızl gec gel aşk gözl gec rüy rüy hay gel rüy kal gel gec yoll gec özl özl rüy kal rüy kal rüy git yalnızl özl gec kal hay kal aşk gözl gözl gözl aşk gec yalnızl özl kal aşk aşk yoll kal yalnızl hay aşk hay rüy özl kal gec yalnızl gec yalnızl hay kal kal yalnızl gec rüy rüy yoll git kal gözl bek yalnızl hay aşk özl özl gözl rüy aşk özl bek gec yoll gözl kal yalnızl gec gel kal kal hay yalnızl gec git kal yalnızl özl kal hay özl kal gec yalnızl rüy rüy kal git yoll yoll git özl bek rüy hay yalnızl gec bek aşk yalnızl gözl gel gec rüy aşk özl hay hay yoll gözl git kal gözl yoll aşk kal hay gözl yoll gözl rüy gözl gec git özl git yalnızl kal özl rüy git gel gec bek rüy bek yoll rüy git rüy hay gec özl kal hay gözl yalnızl rüy hay kal rüy gel hay aşk gözl hay aşk git aşk hay rüy yoll git hay gel gec yalnızl bek
Rüya,gec kal aşk gözl gel gözl gec gec bek özl rüy yalnızl aşk yoll bek gel rüy yalnızl yoll rüy git gel yalnızl gözl özl hay özl gel özl yoll kal yoll gec yalnızl aşk git hay yalnızl özl gel aşk yoll kal bek gel aşk kal bek yoll kal bek rüy gel özl özl bek aşk gec kal gec yalnızl hay yoll gel yoll yoll hay hay gözl bek yoll aşk rüy özl yalnızl yoll yoll rüy özl aşk yoll gözl gel gec gec özl gel git git git bek git gec kal kal yalnızl git kal hay gec gec hay gec aşk hay gec gözl hay özl gec gözl gözl git bek hay yalnızl gel rüy git gec kal kal git aşk rüy aşk kal yoll yalnızl git kal bek aşk git yoll özl yalnızl yalnızl aşk yoll yoll aşk özl aşk özl gel kal özl git rüy gözl özl gözl gözl özl bek bek yalnızl gec gözl hay hay bek hay aşk gözl bek rüy kal rüy hay özl yalnızl yalnızl gel aşk gec aşk kal aşk gel hay gec aşk gel gec gözl gel özl gel yalnızl yalnızl yoll rüy git aşk hay gec gel git kal hay rüy yalnızl gel gel gel rüy git rüy hay özl git yalnızl kal rüy gözl bek yoll yoll gec git rüy yoll gözl git yalnızl rüy aşk rüy gec rüy git özl yalnızl özl gec hay gözl git yalnızl gec yalnızl gözl hay git yalnızl gel yoll hay gel gözl özl gel gel bek gözl hay kal kal bek
Ben Bir Şarkıyım,bek git yalnızl özl kal hay git rüy aşk bek hay aşk gel yoll git kal git yalnızl yoll gözl yalnızl rüy özl gec yoll aşk yalnızl gözl bek gec aşk yoll aşk gec yoll gec yalnızl hay hay aşk gel gözl kal gözl git gözl hay gel kal git hay aşk gözl yalnızl yalnızl gözl kal gözl özl hay aşk özl yalnızl özl gözl kal rüy bek kal bek gec hay aşk yalnızl bek hay rüy gözl gözl hay hay git hay hay özl yalnızl özl kal aşk gel özl özl bek hay kal aşk gözl yalnızl özl gec hay kal gözl aşk özl yoll gec yoll yoll hay özl bek yalnızl git özl hay git özl özl gel özl gözl bek yoll kal yoll özl gec aşk bek gözl gec yalnızl kal özl bek gec yoll hay hay aşk gözl git git aşk gözl kal gözl yoll kal gel gel hay yoll kal yalnızl özl hay kal aşk yoll özl gel gel gel kal hay bek aşk kal rüy bek aşk gel bek yoll gec bek aşk aşk kal yoll gel hay bek aşk git bek git rüy gel yalnızl gec rüy hay gel gözl gözl bek gözl kal hay kal rüy yalnızl gel bek bek hay hay rüy rüy gözl yalnızl yoll git bek yalnızl yalnızl yoll rüy bek git gel hay yalnızl yalnızl yalnızl yalnızl gözl git gel gel hay gec yoll gec gec git bek aşk gel hay hay gözl gözl bek gec kal rüy özl yoll yalnızl rüy gözl bek hay yalnızl gözl rüy gec özl git aşk
Rüya,gec hay git bek git hay rüy gel git hay gözl yoll git aşk özl özl rüy bek git özl kal kal gel yalnızl git yoll git aşk aşk git kal hay gel bek gec gec gel bek yalnızl gel bek yalnızl bek bek yalnızl bek gec bek gözl bek gözl bek git gözl aşk hay git bek gec hay hay git kal hay yalnızl yalnızl yalnızl aşk aşk hay yoll gec gözl hay bek gel gec git rüy yoll yalnızl kal rüy git kal gec bek aşk rüy bek kal yoll yoll rüy gözl gözl gözl kal gec yalnızl gözl gözl gözl aşk özl gec yoll gec gel gec hay rüy bek gec özl git gözl gel rüy git gözl özl gec gel aşk özl gözl gözl rüy özl gec bek gec aşk özl gec kal gel gel hay kal aşk özl rüy gözl bek bek kal git yoll aşk rüy bek yalnızl rüy gel hay yoll aşk hay aşk bek aşk özl gel kal gec rüy bek hay bek git aşk yoll aşk yalnızl rüy kal aşk yoll kal bek rüy gözl gel özl rüy hay gözl kal bek bek yalnızl yoll yalnızl özl kal kal git gel gözl hay bek rüy hay hay aşk özl aşk git özl yalnızl hay rüy kal özl yoll git gözl yoll aşk aşk yoll bek rüy rüy aşk kal aşk özl yalnızl kal özl aşk bek git aşk rüy rüy kal git aşk kal hay kal gec gec yalnızl rüy gec özl rüy hay yoll yalnızl gözl yalnızl gözl hay hay gec gec gözl gel gözl yoll gec yoll gec yoll kal gözl özl rüy git yalnızl özl rüy hay aşk gözl gözl yalnızl hay yoll yoll bek gec hay aşk bek hay bek aşk git özl gel bek rüy özl gözl gel gel git gel gözl aşk git aşk bek gel özl hay gözl bek kal hay gel hay git git gec kal yalnızl hay hay yalnızl rüy kal gözl gec hay gel kal hay yalnızl aşk özl gel özl özl yalnızl kal kal rüy yalnızl yoll rüy özl gel gel bek git bek yoll bek aşk hay git aşk yalnızl yalnızl yoll rüy
Kara Sevda,yalnızl hay gözl gözl gel gel bek yoll özl yoll bek gel yalnızl hay özl aşk yalnızl gel yalnızl yalnızl özl yoll git aşk aşk gec rüy yalnızl aşk rüy git git aşk hay aşk özl rüy gec rüy gec kal yoll özl yoll bek gec gec bek git bek aşk rüy git hay gel gözl gec gel gel özl kal gözl gözl git gec rüy git gel yoll gec kal kal gec gel yoll yoll gözl rüy gel gözl bek rüy git gec kal yoll bek gözl hay yoll gel gel bek yalnızl yoll gec özl rüy gözl hay rüy hay gözl gel aşk yalnızl yalnızl git rüy aşk gec hay gel özl git yoll yoll rüy hay aşk aşk yalnızl gel aşk rüy gözl gözl kal git gel gec gözl hay bek kal gec gözl gec yalnızl özl bek rüy özl özl rüy kal aşk özl gel özl gec kal hay git yoll rüy hay bek gel rüy kal kal yalnızl git gel özl gel aşk kal git gec özl hay kal hay bek yoll gel kal gel aşk gel git yalnızl özl yalnızl gel gözl hay yoll bek rüy rüy gec git gec kal rüy gel bek gec özl gec kal rüy gec özl gözl gec yoll gözl rüy kal hay rüy özl yoll özl kal aşk rüy gözl git gec aşk bek git kal kal hay hay yalnızl git yalnızl rüy kal gel gec kal aşk yalnızl hay yoll gel yoll git git gec rüy yalnızl özl yalnızl hay gel gel rüy hay özl gözl yoll özl git git aşk git aşk gel gec gec gel bek yalnızl yalnızl bek hay gözl gec yoll aşk kal bek aşk hay aşk özl kal bek git gel bek yalnızl rüy aşk yoll özl aşk kal hay bek kal bek git gözl özl rüy yoll aşk aşk aşk bek rüy git git aşk gözl yalnızl yalnızl git gel rüy bek gec aşk bek rüy bek yalnızl gec aşk gec git aşk git gel kal git hay rüy git yalnızl gözl hay rüy hay hay git gözl yalnızl aşk hay bek git hay aşk aşk yoll gec git yoll rüy git gec bek aşk rüy gec gec hay gözl yoll kal özl gel bek bek rüy git gözl yalnızl bek yoll
Rüya,bek bek özl git bek yoll gec hay yoll hay yalnızl kal gözl hay kal kal hay özl gec yalnızl gec hay özl kal yoll rüy rüy git yoll yoll gel git yalnızl git bek hay özl gel yalnızl yalnızl bek gec yalnızl özl gözl rüy gel özl gel bek bek git yoll git yalnızl yoll gözl yoll aşk gel bek özl git rüy yoll yalnızl git kal hay rüy kal bek gec aşk rüy gel git git kal özl özl gözl gec hay rüy gec bek bek hay yoll özl hay hay kal git bek rüy bek gec rüy gec hay aşk yoll git gec bek özl git özl gec kal hay gec bek hay gel yoll bek git hay hay gözl git özl gec kal yalnızl kal bek bek hay bek aşk git gözl rüy yalnızl yoll hay gözl gel aşk gözl aşk hay git gec özl aşk gözl hay rüy kal aşk gec rüy gel yoll gec gec gözl gec yalnızl rüy gözl rüy gel gözl yalnızl gec rüy gözl özl git gec gec gözl rüy bek gözl rüy hay hay hay yoll gözl gel aşk özl yoll bek gec gec bek gözl özl git kal özl hay bek gel rüy gec aşk özl yalnızl kal bek bek kal bek gel aşk özl aşk gec bek gec yalnızl bek git yoll gec özl bek yoll bek gözl hay gözl aşk yalnızl bek bek git yalnızl aşk yoll git hay yalnızl özl gel gözl özl gec yalnızl gel kal gel yalnızl git bek rüy kal gel gel gel gec gözl gec kal gel gel git gel gözl aşk rüy gözl gec
İstanbul Hatırası,gec gözl yalnızl yalnızl özl gözl yoll gec bek hay yoll yoll aşk git git hay gel gec gel özl bek rüy özl yalnızl yoll git aşk rüy bek kal yalnızl özl gözl özl gözl kal gel özl rüy aşk yalnızl git gözl yalnızl yoll bek özl yalnızl rüy git gel yoll özl gec gözl git hay gel git gözl gözl özl bek git gec yalnızl özl gel gözl bek kal git özl aşk özl git yoll bek git gel git gel bek rüy yalnızl bek gec bek hay hay gel yalnızl kal gec aşk gel bek yoll yalnızl gec rüy hay özl hay aşk yoll gözl yalnızl bek aşk gec özl hay gel bek gec özl git aşk aşk gec gec bek yoll hay gec özl kal özl kal gözl gel gel aşk bek aşk gec gözl aşk bek yalnızl hay gel hay rüy rüy aşk kal yalnızl gel aşk yalnızl bek gel yoll gözl aşk özl kal git gec hay hay özl gel yoll hay yoll kal özl bek rüy aşk aşk aşk git git git bek yoll aşk yoll kal git aşk özl bek hay özl aşk gözl aşk aşk gel gel gec gel gel rüy yoll aşk kal yalnızl yalnızl kal gec git git yoll gel gözl yoll git aşk gec gözl bek gel kal gec git kal git kal kal git aşk yalnızl bek yalnızl yoll yoll yalnızl gel aşk gec bek yoll bek hay aşk gel gec kal gec rüy yoll gec bek kal kal gözl yalnızl gözl git rüy kal gec aşk hay gec hay gel gözl yalnızl git bek rüy bek yoll gec rüy gel bek aşk gec rüy gec bek kal gözl yalnızl özl kal gec yoll yalnızl yalnızl bek hay rüy rüy git yoll gel aşk git gec hay gözl rüy
Ağla Kalbim,bek gec yalnızl gec yoll bek gel yalnızl kal hay gel bek özl hay rüy git aşk gec gel yalnızl git aşk özl git bek yalnızl git kal yoll yoll git özl özl gel rüy özl bek gözl kal gel bek yoll rüy özl özl gel gözl aşk git hay rüy aşk bek bek gec hay hay aşk hay yoll kal yalnızl yalnızl kal özl hay hay gözl rüy gec kal gel kal gel aşk git rüy git git gel bek yoll aşk özl bek bek hay gec özl rüy gec yalnızl yalnızl aşk gec aşk özl gec bek bek kal hay kal yalnızl aşk aşk yoll yalnızl gec gel rüy kal yalnızl git gözl kal gözl gel yalnızl yoll gec bek kal kal kal gel hay gec aşk gel kal bek özl hay gec rüy gec bek gözl yalnızl kal kal gec gel bek rüy özl kal özl kal rüy rüy gel rüy aşk rüy git gec gel aşk gözl rüy gel hay özl hay git gel hay yoll yoll git gel yoll gec gec git git git özl kal gel git yoll bek yoll kal hay gel kal yoll aşk bek özl yalnızl bek gözl özl gel rüy yoll git yoll aşk özl kal hay gec rüy yoll gözl git hay kal gec yalnızl gözl hay yalnızl gözl gel kal yoll rüy rüy git yoll özl kal kal gel aşk gözl git özl git gel bek gözl özl rüy bek yoll git yalnızl özl gözl aşk yoll gözl gözl aşk gözl özl gec aşk aşk bek özl gözl gel aşk bek hay aşk rüy yoll gec rüy rüy yoll kal gözl özl aşk özl özl gec hay rüy gel kal yalnızl kal gözl özl özl kal gec gözl gözl gözl kal kal aşk gözl hay yoll bek yoll bek kal özl rüy yoll aşk kal gel gel gel hay gel yoll yoll kal gel gözl yoll özl yoll rüy aşk yalnızl gözl git gözl git git gözl özl yalnızl gözl kal kal rüy yoll hay yoll git kal özl bek bek yalnızl gel kal kal aşk aşk hay rüy hay bek git aşk özl gec aşk git yoll gec hay gec gec kal yoll özl gel kal rüy gözl yalnızl rüy bek özl hay yoll yoll hay git özl yoll yoll git kal gec kal gec bek gec yalnızl hay yoll bek kal yoll gel gözl gel özl aşk gözl yoll gec aşk aşk bek bek rüy kal rüy git gözl hay gözl
Yalnızlık Senfonisi,yoll gözl rüy gel yalnızl gec hay yalnızl özl gözl aşk gel kal git gözl rüy aşk özl bek rüy özl yoll özl rüy rüy bek gec gözl kal özl yalnızl yalnızl gel rüy gel özl yoll gec gözl aşk özl yalnızl yalnızl özl bek özl gözl yalnızl özl kal gec gel aşk gel aşk gel yoll gec aşk rüy kal gec yoll rüy yoll gözl gözl yalnızl hay yoll gel aşk bek gec gel gözl gözl gözl özl gec özl aşk yoll git rüy gec bek kal git gec aşk hay rüy özl hay gec gel özl kal hay yalnızl özl git gel gec özl gözl gözl kal rüy git yoll özl gel git hay yalnızl kal özl hay bek kal rüy git gec hay git gel özl gözl özl rüy aşk bek yalnızl hay yalnızl yoll rüy aşk yalnızl gözl yoll özl gözl gel gel rüy gözl rüy yoll git yoll git özl gec bek özl yalnızl rüy hay gec kal aşk özl git yalnızl yoll bek aşk yalnızl yoll yoll hay gözl rüy git git özl gel gel yoll git özl yoll git aşk bek aşk rüy aşk kal aşk rüy gözl yoll yoll bek özl rüy rüy git gel özl gec hay kal bek yalnızl özl gözl git bek rüy rüy gel özl gözl yoll git hay özl aşk kal rüy hay özl özl gel bek gec hay yoll aşk gel gözl gözl rüy gel gec git yalnızl yalnızl yoll gel git özl kal yoll yalnızl kal özl gözl rüy özl git özl gözl gec kal aşk yoll kal kal yalnızl gel rüy gec özl yalnızl rüy gözl git hay hay hay yalnızl rüy gec git hay gel bek git rüy aşk rüy gec özl özl gözl hay bek özl aşk yoll özl gel bek yalnızl kal yalnızl özl aşk özl hay aşk yoll aşk aşk kal gel kal yalnızl bek yoll gec bek yoll git hay yalnızl rüy kal gözl gel aşk özl hay git kal git kal bek özl git gec gözl aşk rüy gec özl kal git kal gel yoll gel gözl aşk aşk bek özl bek aşk rüy bek
Yalnızlık Senfonisi,gec yalnızl özl hay gözl bek gel hay kal kal gec bek gec hay gel aşk gec kal rüy hay gel aşk rüy hay aşk aşk gel rüy aşk aşk yalnızl kal yoll bek yoll aşk özl git özl aşk rüy yalnızl yoll gel gec rüy gel hay rüy git gec git hay aşk hay rüy gel aşk git aşk git bek gel rüy kal hay gözl gel gözl git rüy hay yalnızl hay özl rüy aşk gözl git git git yalnızl gözl hay git hay rüy gec yalnızl git gözl yalnızl gec git gec bek gec gözl bek git bek kal kal hay gözl kal rüy gec hay yalnızl hay git gec bek yalnızl yalnızl kal rüy gel hay kal gec aşk bek gel git aşk gözl gel yoll yoll gözl gel git yoll gel kal git kal kal gec rüy hay yalnızl rüy rüy git bek gel git gel kal kal gel aşk gözl aşk gel gözl gel hay gel özl kal kal gec kal rüy gözl kal aşk kal özl aşk özl git aşk bek aşk kal gözl hay rüy git gec gec aşk gel kal gözl gec rüy yoll gel gec gec gel yoll gözl özl rüy bek git bek özl git gel yalnızl yalnızl yalnızl kal gec gel rüy aşk bek gec rüy aşk aşk rüy gec gel rüy git gec git gözl gec gec yalnızl hay aşk kal gözl gec rüy gec aşk rüy aşk bek gel gözl git rüy gec özl yoll gözl yoll özl hay gözl git gel yoll hay rüy gel özl rüy git gözl aşk gözl aşk özl git bek özl özl aşk yoll git gözl gözl rüy gel gel hay gel yalnızl yoll gözl aşk bek kal yalnızl özl kal gec yalnızl gel gel git
Yalnızlık Senfonisi,gel gel gel gec gel hay hay özl özl özl bek yalnızl hay aşk gel rüy gec git hay git kal git gel aşk özl yalnızl kal hay rüy gel gec yalnızl kal kal hay aşk gözl bek rüy gec kal git bek rüy bek yoll gözl bek gec rüy özl yalnızl özl git rüy yalnızl kal kal aşk git kal git gec yalnızl git kal kal gözl git gel git yalnızl hay gec hay git aşk bek gözl bek git git kal özl gözl aşk gel gec gec rüy gözl yalnızl özl bek rüy yoll aşk özl git yalnızl kal özl özl kal hay hay kal gel aşk yalnızl özl aşk aşk git gel özl yalnızl gec yoll gec yoll git rüy git yoll kal hay yalnızl kal yoll rüy yoll kal yoll kal gec yalnızl yalnızl gec rüy özl kal özl bek bek hay hay gel aşk bek yoll rüy gözl gec yoll yalnızl yalnızl git kal kal aşk gel yoll yoll yalnızl gec yoll yalnızl gözl hay git bek kal git bek git gec özl gözl yalnızl bek hay yoll gec özl hay özl git gel özl gözl bek git aşk aşk yalnızl rüy özl aşk aşk bek özl gözl gözl kal gec hay hay özl hay rüy rüy git yoll git bek gec hay git gec bek kal aşk bek kal yoll yalnızl bek rüy aşk bek özl yoll yoll git rüy kal yoll bek hay git aşk gel özl gec yalnızl gel özl hay yalnızl gözl gec gel gec git gel gel git bek yalnızl özl aşk yoll gel özl gözl gözl hay gözl kal gözl özl hay kal yalnızl gel aşk bek gel yalnızl yalnızl yoll gözl kal yalnızl yalnızl kal gel özl yalnızl yalnızl kal yoll git gözl aşk bek gel yoll gec kal gec bek gözl aşk aşk git kal gözl bek gel rüy bek özl kal yoll yalnızl yalnızl kal gözl yalnızl git özl yalnızl hay yalnızl bek gec bek aşk rüy bek kal aşk aşk gel hay bek rüy bek gözl gel bek gec yoll git gözl gözl gec bek gel yalnızl gec gel özl gec hay git gel hay gec gözl aşk aşk özl özl bek git gözl git özl rüy gözl gözl özl kal git gel rüy gözl hay yalnızl yoll gel yalnızl yalnızl gel hay aşk hay aşk rüy rüy kal özl rüy bek gözl gec bek aşk özl gec yalnızl gel
Bir Derdim Var,yoll gözl yoll yalnızl yalnızl gel gec yoll gel kal gözl kal bek rüy özl gel yoll gel hay gel hay bek aşk yalnızl git bek gel git yoll yalnızl rüy rüy özl git kal aşk bek yalnızl bek yoll gözl yoll gel yalnızl gel bek yoll aşk özl hay git yalnızl bek yoll gel rüy git gözl özl yoll yalnızl aşk hay gözl aşk hay rüy özl gel kal rüy kal kal gel rüy bek kal gözl gel kal gel git kal aşk özl gözl gec bek gel özl özl özl gec gözl özl özl özl gel gel aşk aşk yalnızl yoll git gözl git rüy yoll özl gel yalnızl bek bek git git hay rüy rüy yoll aşk bek yalnızl bek git kal aşk hay gel git aşk gözl gözl kal yalnızl rüy özl yalnızl özl gözl aşk bek özl gözl özl aşk özl yoll gec git bek gec kal gel aşk hay özl özl yoll gec rüy gözl kal yoll rüy özl hay gözl gözl gec kal git git bek gel özl git git gec gec yoll yoll gec özl yalnızl kal rüy gel git özl gec gec özl aşk gel hay rüy gel bek gözl gözl yoll gel aşk kal gel rüy yalnızl yalnızl gec gec kal hay yalnızl git gel kal gec yoll bek git git yoll rüy gel git aşk gözl hay bek yalnızl aşk rüy git gözl yalnızl özl gec gel gec yoll hay rüy gec özl gözl gözl kal git gözl bek gec kal gec yalnızl git gel yalnızl rüy gözl rüy gözl yoll özl gel rüy rüy yalnızl gözl git git hay yalnızl aşk rüy özl rüy gel gel git aşk özl yoll kal yoll özl aşk özl gel gözl bek gec rüy gel kal gec aşk bek aşk aşk gel git gel git gel gec aşk gözl bek hay kal yoll hay gec bek yalnızl gel yoll bek hay hay gel yalnızl git gözl git yalnızl kal gec yoll aşk git yalnızl yoll özl hay gözl bek hay yoll bek gözl yalnızl yalnızl hay git gel gözl rüy yoll aşk hay gec gözl gel gözl rüy gözl yoll aşk git hay gözl git hay rüy aşk aşk hay gel hay git yalnızl kal aşk gel hay rüy rüy gözl yoll git git gel gözl yoll özl kal gec git yoll kal hay gel gözl gel git gec hay kal bek yalnızl bek bek kal kal kal gözl yoll aşk gec yoll gel özl yalnızl yoll bek git rüy özl kal kal özl aşk gözl gözl kal gel aşk gözl git yalnızl yoll hay gel bek yalnızl gözl yalnızl bek özl git bek rüy aşk hay hay yalnızl gözl özl kal hay git kal özl rüy gözl hay hay gözl kal gel gec yoll bek hay yoll gel özl yoll rüy gec yalnızl git yalnızl aşk
Gel Yanıma,git kal özl hay git git gec rüy bek bek yalnızl gel yoll gözl yalnızl gözl rüy yalnızl hay gel hay gözl yalnızl gözl yalnızl yoll bek bek yoll kal rüy yalnızl yoll rüy yalnızl gel kal özl yalnızl gec aşk git bek git hay yoll kal gel gec yalnızl rüy gözl rüy hay gözl yalnızl kal aşk gec bek bek yalnızl gec hay gözl gözl git kal git özl rüy gec gözl yalnızl rüy gözl gözl rüy aşk gel rüy hay gec hay gec git yoll git kal gözl aşk aşk gec yoll gel gel rüy yalnızl gel gec yalnızl aşk gel bek rüy git kal bek özl rüy bek gözl özl yalnızl hay bek rüy gel yoll gec git gel yalnızl gel rüy yalnızl bek yalnızl hay bek yalnızl kal hay yalnızl özl aşk yoll aşk yalnızl gözl özl gözl bek bek yoll bek git hay bek kal aşk bek gözl yalnızl yalnızl yalnızl kal yalnızl aşk yalnızl özl rüy yalnızl yalnızl gözl aşk rüy kal gözl hay gel yoll yoll gec gözl rüy hay gec gözl bek özl aşk kal kal aşk yoll git gec yoll git yalnızl gec yoll özl aşk gel yalnızl gec hay yalnızl kal gözl git kal rüy özl yoll rüy bek yalnızl yalnızl kal yoll bek git kal aşk git gec özl git bek aşk git gel gözl hay git gözl aşk gec kal hay kal git yalnızl gözl yoll aşk yalnızl rüy kal kal gel gözl yalnızl hay yoll gel yalnızl aşk yalnızl bek yalnızl özl bek kal özl bek yalnızl özl hay gel aşk gel yoll bek git
Gibi,yoll hay hay git bek git gözl gec gec kal git git kal kal bek git aşk hay özl git kal aşk hay bek bek yoll gel yalnızl kal aşk gel kal rüy gec gel yalnızl hay rüy yoll gözl hay özl gel aşk git hay git gel kal rüy gel yoll gözl yoll yoll kal gec yoll kal yoll yalnızl yalnızl git bek hay rüy rüy özl gel yoll kal aşk git yalnızl aşk gözl gel rüy git yoll gel hay git bek rüy gec gel gel gel yalnızl rüy gözl hay git yalnızl bek rüy rüy gec yoll git rüy bek yoll aşk gec gel aşk yoll yoll aşk gec gözl rüy bek aşk gözl kal gec git bek gec git yalnızl yoll özl gel yoll rüy hay bek bek kal git yalnızl kal kal gec aşk git kal yoll bek gözl yalnızl hay gözl bek kal bek yoll özl gözl yalnızl rüy rüy gözl gözl rüy yalnızl rüy bek rüy hay kal kal gec gözl aşk bek yoll yalnızl özl özl rüy bek gec rüy gözl hay git kal gel git bek yalnızl gel aşk gel bek rüy kal kal kal rüy aşk hay git gel hay aşk aşk gözl gözl yoll hay git gec yoll gel git aşk gel gec
Bir Derdim Var,gec git özl kal bek gel özl rüy git rüy gec rüy yoll gözl gözl özl yalnızl rüy hay kal yoll kal git gec yoll yalnızl gec kal gel aşk hay hay rüy git yoll özl aşk gel gözl gel kal özl özl bek bek gec yoll kal git özl yalnızl hay git kal gec kal gec gec rüy özl gel git yalnızl kal hay bek yalnızl özl yoll bek yalnızl özl gözl özl bek gözl rüy gec gec yalnızl yalnızl özl özl yalnızl aşk gözl kal gözl yoll gec kal kal hay bek gel yoll git kal rüy git aşk gel aşk rüy gec gözl kal gec git git rüy aşk yoll aşk kal gec gözl git bek git rüy kal kal aşk git gec yalnızl kal yalnızl gec özl aşk hay rüy özl bek rüy yoll rüy yalnızl bek git kal bek bek yalnızl kal özl gec git gözl yoll gözl gözl gel gel aşk hay yoll kal aşk gel gözl özl gec özl özl kal aşk hay gec özl rüy aşk gözl gec hay gözl hay aşk rüy hay bek rüy yalnızl kal hay aşk kal gözl gözl yoll yoll yalnızl rüy yoll kal gel aşk gözl gözl aşk yalnızl kal rüy gözl rüy gel gözl aşk yoll gec hay aşk kal git gözl rüy aşk aşk özl gel yoll gec gözl yalnızl aşk kal gözl rüy rüy yoll gözl aşk kal kal gel kal rüy özl aşk yalnızl rüy bek özl kal rüy özl gözl bek yoll aşk rüy aşk gel bek git yalnızl gec hay git yalnızl özl yalnızl kal aşk gözl özl gel yalnızl gel git yalnızl rüy bek rüy yalnızl gel rüy yalnızl aşk aşk gec özl gec gel özl gec kal gözl rüy aşk gec rüy bek yoll özl yoll hay kal gec rüy hay rüy gözl yalnızl git gec gel aşk özl rüy özl kal bek kal gec yalnızl git kal yalnızl git yalnızl yalnızl yoll gec rüy özl aşk kal yalnızl özl gel gözl aşk git kal bek git hay gözl rüy özl rüy yoll rüy özl özl hay gel özl rüy aşk yalnızl rüy git gec yalnızl yalnızl gec gel aşk bek gec aşk kal git kal yalnızl kal aşk aşk aşk hay rüy git hay gec rüy git özl yalnızl git gözl yalnızl özl özl gel gözl aşk gec yalnızl gözl yalnızl özl yoll aşk gel yoll yoll kal yalnızl özl bek gözl gel özl gel özl kal gel yoll aşk bek
Rüya,bek rüy git bek git rüy özl gözl yalnızl gözl bek gözl yalnızl kal özl aşk özl özl rüy bek git gec bek yoll yoll özl gec gec gel git gel gec hay yalnızl özl git hay yalnızl aşk kal kal rüy gel bek bek rüy gözl aşk git gel aşk gözl gec aşk kal gözl aşk yoll hay kal yoll özl aşk gel kal rüy yoll gec yoll hay özl yalnızl git özl özl aşk bek aşk özl aşk gel yoll rüy git hay rüy özl özl rüy yalnızl bek yalnızl aşk özl kal git bek aşk kal gec gel gec kal bek gel gec rüy gel özl hay hay hay özl kal yoll git bek özl hay rüy gel aşk gec gec özl bek gec hay kal gel gel rüy yalnızl git gel gözl yalnızl rüy git aşk hay git rüy hay yoll aşk bek hay yoll yalnızl gel hay aşk kal özl gözl özl kal kal hay gec gec kal aşk gel kal hay yoll gözl özl yoll özl git git yalnızl özl gec yalnızl gec özl yalnızl aşk yalnızl gözl özl yoll aşk gözl gözl rüy hay hay gözl kal bek gözl gec gec kal aşk git rüy kal hay bek gec gec aşk özl yalnızl kal özl aşk yoll gel yalnızl gel aşk gözl gel yoll hay özl gel hay hay gel bek aşk hay hay yoll hay gel gözl yoll aşk bek bek bek aşk gec gel yalnızl hay yoll bek gec gel gec gözl gel gözl kal hay rüy özl gec bek git yalnızl gec yalnızl özl gözl git bek gel gec gel özl rüy kal gec aşk hay git rüy yoll gel hay git gel yoll kal gözl gözl bek kal bek gec özl yalnızl bek git kal hay gec kal gel kal özl kal bek gel git kal aşk bek rüy aşk gec git aşk yoll özl gel bek bek git gec aşk özl bek gözl gel gözl özl rüy gel kal aşk gözl yalnızl gel özl gec gözl yalnızl yoll özl gözl rüy git aşk bek bek hay gec bek git aşk git yoll hay gözl gözl gec yalnızl hay yoll yalnızl bek kal kal rüy hay aşk gel özl yoll yoll aşk aşk git gözl bek gözl kal gel bek git gözl aşk hay özl gözl gec git aşk git hay rüy yalnızl git kal kal git gel gec gec yoll bek kal gel gözl hay yoll gec yalnızl aşk gec bek özl bek yalnızl git özl hay aşk hay gözl bek kal bek özl yalnızl kal
